pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
44464,XX,nse_fo,OPTIDX,NIFTY,NIFTY26MAR20650CE,CE,NIFTY30MAR2620650.00CE,,26000,,,,,,5,65,1459348200,-1,2,2065000.0,NSE,OPTIDX,1459348200,1452384000,1459348200,1452384000,0,0,0,0,0,,0,0,1456937322,,,,,,,,,,FO,,,,,,,1459296000.0,1459348200.0,,,,430700.0,Cash,,1,1,1801.0,65,0.0,486610.0,374790.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
62926,XX,nse_fo,OPTIDX,NIFTY,NIFTY26MAR25000CE,CE,NIFTY30MAR2625000.00CE,,26000,,,,,,5,65,1459348200,-1,2,2500000.0,NSE,OPTIDX,1459348200,1427587200,1459348200,1427587200,0,0,0,0,0,,0,0,1456937322,,,,,,,,,,FO,,,,,,,1459348200.0,1459348200.0,,,,40410.0,Cash,,0,1,1801.0,65,2527560.0,68255.0,12565.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
54622,XX,nse_fo,OPTIDX,NIFTY,NIFTY26MAR25950CE,CE,NIFTY30MAR2625950.00CE,,26000,,,,,,5,65,1459348200,-1,2,2595000.0,NSE,OPTIDX,1459348200,1451606400,1459348200,1451606400,0,0,0,0,0,,0,0,1456937323,,,,,,,,,,FO,,,,,,,1459296000.0,1459348200.0,,,,7390.0,Cash,,0,1,1801.0,65,124150.0,16770.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
54668,XX,nse_fo,OPTIDX,NIFTY,NIFTY26MAR26400PE,PE,NIFTY30MAR2626400.00PE,,26000,,,,,,5,65,1459348200,-1,2,2640000.0,NSE,OPTIDX,1459348200,1451606400,1459348200,1451606400,0,0,0,0,0,,0,0,1456937323,,,,,,,,,,FO,,,,,,,1459296000.0,1459348200.0,,,,145325.0,Cash,,0,1,1801.0,65,108290.0,196765.0,93885.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
54588,XX,nse_fo,OPTIDX,NIFTY,NIFTY26MAR25350CE,CE,NIFTY30MAR2625350.00CE,,26000,,,,,,5,65,1459348200,-1,2,2535000.0,NSE,OPTIDX,1459348200,1451606400,1459348200,1451606400,0,0,0,0,0,,0,0,1456937322,,,,,,,,,,FO,,,,,,,1459296000.0,1459348200.0,,,,23395.0,Cash,,0,1,1801.0,65,126750.0,43445.0,3345.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
54619,XX,nse_fo,OPTIDX,NIFTY,NIFTY26MAR25850PE,PE,NIFTY30MAR2625850.00PE,,26000,,,,,,5,65,1459348200,-1,2,2585000.0,NSE,OPTIDX,1459348200,1451606400,1459348200,1451606400,0,0,0,0,0,,0,0,1456937323,,,,,,,,,,FO,,,,,,,1459296000.0,1459348200.0,,,,95135.0,Cash,,0,1,1801.0,65,50440.0,140215.0,50055.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
54491,XX,nse_fo,OPTIDX,NIFTY,NIFTY26MAR22800PE,PE,NIFTY30MAR2622800.00PE,,26000,,,,,,5,65,1459348200,-1,2,2280000.0,NSE,OPTIDX,1459348200,1451606400,1459348200,1451606400,0,0,0,0,0,,0,0,1456937322,,,,,,,,,,FO,,,,,,,1459296000.0,1459348200.0,,,,305.0,Cash,,1,1,1801.0,65,0.0,2305.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
54538,XX,nse_fo,OPTIDX,NIFTY,NIFTY26MAR24050CE,CE,NIFTY30MAR2624050.00CE,,26000,,,,,,5,65,1459348200,-1,2,2405000.0,NSE,OPTIDX,1459348200,1451606400,1459348200,1451606400,0,0,0,0,0,,0,0,1456937322,,,,,,,,,,FO,,,,,,,1459296000.0,1459348200.0,,,,100605.0,Cash,,0,1,1801.0,65,260.0,147515.0,53695.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
54418,XX,nse_fo,OPTIDX,NIFTY,NIFTY26MAR20900PE,PE,NIFTY30MAR2620900.00PE,,26000,,,,,,5,65,1459348200,-1,2,2090000.0,NSE,OPTIDX,1459348200,1451606400,1459348200,1451606400,0,0,0,0,0,,0,0,1456936299,,,,,,,,,,FO,,,,,,,1459296000.0,1459348200.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
54597,XX,nse_fo,OPTIDX,NIFTY,NIFTY26MAR25550PE,PE,NIFTY30MAR2625550.00PE,,26000,,,,,,5,65,1459348200,-1,2,2555000.0,NSE,OPTIDX,1459348200,1451606400,1459348200,1451606400,0,0,0,0,0,,0,0,1456937322,,,,,,,,,,FO,,,,,,,1459296000.0,1459348200.0,,,,71795.0,Cash,,0,1,1801.0,65,83980.0,111695.0,31895.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
55036,XX,nse_fo,OPTIDX,NIFTY,NIFTY26MAR30250CE,CE,NIFTY30MAR2630250.00CE,,26000,,,,,,5,65,1459348200,-1,2,3025000.0,NSE,OPTIDX,1459348200,1451606400,1459348200,1451606400,0,0,0,0,0,,0,0,1456936299,,,,,,,,,,FO,,,,,,,1459296000.0,1459348200.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
